"GeneID","Chr","Start","End","Strand","Length","logFC","logCPM","F","PValue","FDR","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"0610010K14Rik","NC_000077.7",70126030,70128808,"-",981,-0.257073153436426,7.08996958610043,2.78846023998902,0.123898985120745,0.449827292587514,150.252997756943,169.518001366847,121.569856428733,116.489094973747,133.093603795044,118.793551944687
"0610030E20Rik","NC_000072.7",72324017,72330145,"+",4996,-0.0635002094784781,4.50326515096874,0.0816130055578188,0.780578271074949,0.922800728896099,22.7788801264171,17.9113359934781,24.4828183085642,20.8016241024548,22.1822672991741,20.1182628293422
"1110004F10Rik","NC_000073.7",115680596,115704445,"+",1829,-0.151858613821221,6.21658886767244,0.774370528622237,0.398199108406691,0.717255699995352,61.7658095735539,86.3582271114124,83.1571587377095,65.9708650106423,76.4055873638218,65.1448510664413
"1110025M09Rik","NC_000081.7",81468372,81470622,"-",2251,0.411822765361281,2.80934315067294,0.742593013568115,0.407813092584506,0.723729805788224,3.06638770932537,3.83814342717388,8.02023358384,7.72631752376892,4.10782727762483,8.62211264114664
"1110038B12Rik","NC_000083.7",35169211,35171444,"-",590,-0.162841115159364,7.3785238713632,1.00622746752393,0.337950219333826,0.675265393807538,200.629367267289,145.209759661412,175.600903730392,132.536062138498,158.562132916318,178.190327917031
"1110038F14Rik","NC_000081.7",76832453,76834934,"+",1661,-0.141492660985693,6.23386722256172,0.950714046016069,0.351063203797831,0.685305328885083,81.0402466035991,81.8803931130428,70.071514469339,67.7538613622813,70.654629175147,72.8089511919049
"1110059E24Rik","NC_000085.7",21574677,21630155,"-",1428,0.0835808360171667,3.40106277823592,0.0351107963824697,0.854874228306118,0.952312723047397,3.50444309637185,12.7938114239129,11.8192915972379,9.5093138754079,9.85878546629958,9.5801251568296
"1110059G10Rik","NC_000075.7",122774154,122780065,"-",3361,0.495937709435363,3.2715345682651,1.2418583614452,0.289555149705371,0.634351891677176,3.50444309637185,5.75721514076082,11.8192915972379,8.9149817581949,12.3234818328745,9.5801251568296
"1500009L16Rik","NC_000076.7",83558560,83598626,"+",1363,-0.762896066179336,4.45607963206093,7.95015739193143,0.0170974425870501,0.18074950822917,24.531101674603,24.9479322766302,27.4376412078737,16.0469671647508,19.7175709325992,8.62211264114664
"1500011B03Rik","NC_000071.7",114946257,114952037,"-",1739,-0.183239756639408,3.35153523816814,0.378686132852514,0.551194897287109,0.816920681592873,9.6372185150226,10.2350491391304,8.86446869792843,8.32064964098191,8.21565455524965,8.62211264114664
"1500015A07Rik","NC_000084.7",61859461,61861325,"+",1865,0.370211727976733,2.84465105953369,0.911905183964867,0.360775288559659,0.692698585864774,6.57083080569723,5.11752456956518,4.22117557044211,5.34898905491694,8.21565455524965,7.66410012546368
"1600012H06Rik","NC_000083.7",15163446,15166201,"+",2756,0.248608024275065,3.9898210697483,0.351027109409839,0.565846287019599,0.825308308834133,10.951384676162,7.67628685434777,20.6837602951663,10.6979781098339,25.4685291212739,13.4121752195614
"1600014C10Rik","NC_000073.7",37882642,37896992,"+",3453,0.459040250097578,4.01457839597976,2.0233610657956,0.183396249133212,0.525605958061264,16.6461047077663,14.7128831374999,7.59811602679579,20.2072919852418,15.6097436549743,16.2862127666103
"1600020E01Rik","NC_000072.7",86504312,86541431,"+",681,0.0193044687306952,4.6201974550958,0.00403672140577292,0.950511751899796,0.984873817446501,14.0177723854874,24.9479322766302,30.8145816642274,21.3959562196678,21.3607018436491,28.7403754704888
"1700001L05Rik","NC_000081.7",83238048,83251498,"-",6003,-0.237385763998569,4.34084028662081,0.751854372593061,0.404918997034153,0.721762393018504,18.8363816429987,19.8304077070651,22.7943480803874,20.2072919852418,10.6803509218245,21.0762753450251
"1700003F12Rik","NC_000068.8",154390824,154391923,"+",774,0.195248119883453,5.90113736731628,0.619792208656396,0.448209926411986,0.75298631837749,75.3455265719949,51.8149362668474,36.7242274628463,56.4615511352344,59.9742782533225,72.8089511919049
"1700008J07Rik","NC_000073.7",127109610,127112041,"-",2432,0.210668115138116,3.3317786354621,0.326409853141035,0.579600484444682,0.833805427608081,5.69472003160426,11.5144302815216,8.44235114088421,11.2923102270469,6.57252364419972,10.5381376725126
"1700017B05Rik","NC_000075.7",57159605,57169882,"-",6115,-0.574936895897716,6.27441815762545,9.86004589119934,0.0097091842149387,0.138299158383114,97.248295924319,94.0345139657601,81.0465709524885,67.1595292450683,45.1861000538731,69.9349136448561
"1700025G04Rik","NC_000067.7",151760275,151967941,"-",11114,0.0774504493914763,4.42166832636715,0.0665424101352246,0.801333724696135,0.932565762539304,12.2655508373015,19.8304077070651,27.0155236508295,20.2072919852418,20.5391363881241,22.0342878607081
"1700025N21Rik","NC_000076.7",82949836,82978541,"-",10531,-0.986546491309949,3.36413282102781,6.86744950119696,0.0243707696330869,0.213212556512691,14.4558277725339,12.7938114239129,8.02023358384,5.34898905491694,7.39408909972469,4.7900625784148
"1700030K09Rik","NC_000074.7",73197724,73214385,"+",2703,0.411597493062718,4.66370258969391,3.67037767896013,0.0824761845595093,0.37671057377771,24.0930462875565,21.1097888494564,17.7289373958569,28.5279416262237,25.4685291212739,29.6983879861718
"1700037C18Rik","NC_000082.7",3723662,3726553,"-",1097,-0.284327895941522,3.62001172764306,0.519679038146193,0.486447217880282,0.779287816128802,14.0177723854874,14.0731925663042,8.86446869792843,15.4526350475378,5.75095818867476,6.70608760978072
